Company Name,Company Ticker,Security Code,Investibility weighting factor,Total Shares,Market Cap,Market Share Price,Book Value,Sales (Rs Cr),Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Average Sales,Net Cash Flow (Rs Cr),Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Average NCF,Dividends (Rs Cr),Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Average Dividends,Book Value percentage,Sales percentage,Cash flow percentage,Dividend percentage,RAFI Fundamental Value ,Rafi adjustment factor Ci,Investible Rafi fundamental Value,Company value
Total,,0,26.9111,836655000000.0,,341018.6,"41,83,181",3956034,4439456,5007606,6005320,5973833,5088918.05,47475,203354,-65055,35566,235892,92251.6,128686.08,146480.34,153632.31,149154.12,152233.02,146214.7445,100.00%,1.0,1.0,1.0,10051726.85,229874.2823,2120827.069,21190100000000.0
AXIS BANK LTD,AXISBANK,532215,0.861,3336440027.0,245061.52,734.5,86340,"41,409","45,175","46,614","56,044","63,716","50,592","-2,789","17,263","-7,055","24,094","29,795","12,262",1169,1185.9,0.0,251.95,0,521.37,2.06%,0.009941524,0.13291476800000002,0.003565783,417654.6744,1.704285007,359600.6747,3596010000000.0
INDIAN OIL CORPORATION LTD,IOC,530965,0.2902,205937000000.0,527609.5481,25.62,73837,346045,355379,421492,528158,484362,427087.2,124,-405,-11,614,502,164.8,3366.16,8932.05,19970.1,8514.73,3902.41,8937.09,0.017650922,0.083924951,0.001786419,0.061123042,411213.3353,0.779389488,119334.1099,1193340000000.0
BHARAT PETROLEUM CORPN. LTD,BPCL,500547,0.45899999999999996,1926773333.0,89305.944,463.5,40060,"1,87,815","2,01,251","2,35,895","2,98,226","2,84,572","2,41,552",555,"-1,429",-215,-87,329,-169.4,2022.5,4273.29,4144.14,3744.96,3238.3,3484.638,0.96%,0.047466239,-0.001836283,0.02383233,197596.8261,2.2125831419999997,90696.9432,906969000000.0
ITC LTD,ITC,500875,0.4375,13427822487.0,281849.994,209.9,59083,39192,42768,43449,48340,49388,44627.4,266,75,-166,169,334,135.6,6821.12,5761.84,6311.76,7051.52,12550.92,7699.432,0.014123941,0.008769526,0.001469893,0.052658382999999996,192554.3572,0.6831802779999999,84242.53126,842425000000.0
RELIANCE INDUSTRIES LTD,RELIANCE,500325,0.1119,7544251707.0,1640535.255,2174.55,613422,"2,72,583","3,03,954","3,90,823","5,68,337","5,95,887","4,26,317","-1,262","-8,034","1,266","3,745","19,839","3,111",2974.5,3289.11,3607.5,3958.8,3935.4,3553.062,0.146640081,0.08377356400000001,0.033720823999999996,0.024300298999999997,721086.9194,0.43954369,80689.62628,806896000000.0
COAL INDIA LIMITED,COALINDIA,533278,0.33899999999999997,6091663151.0,92410.53,151.7,37084,"1,05,083","78,164","85,244","99,586","96,080","92,831","1,721",-682,-196,"-2,426","-2,471",-811,17263.07,12342.4,10276.94,8032.98,7354.16,11053.91,0.89%,0.018241873999999998,-0.008789007,0.075600515,234796.0132,2.540792843,79595.84849,795958000000.0
LARSEN & TOUBRO LIMITED,LT,500510,0.4509,1404254155.0,205316.0,1462.1,72328,101122,109312,119683,135220,145452,122157.8,-613,-245,3254,-338,4658,1343.2,1712.4,1329.02,2211.0,2493.4,2482.74,2045.7120000000002,0.017290191,0.02400467,0.014560181,0.013991146999999999,174615.4746,0.850471832,78734.11751,787341000000.0
BHARTI AIRTEL LTD,BHARTIARTL,532454,0.43700000000000006,5961991826.0,318251.1237,533.8,59340,"96,532","95,468","82,639","80,780","87,539","88,592","1,905","-2,752","3,835","1,248","7,675","2,382",546.93,418.0,2132.06,1000.4,965.49,1012.576,1.42%,0.01740873,0.025822857999999997,0.006925265999999999,160855.5785,0.505436011,70293.88782,702939000000.0
HDFC BANK LTD,HDFCBANK,500180,0.1295,6038420572.0,926233.3316,1533.9,176394,63162,73271,85288,105161,122189,89814.2,2542,10242,73750,-41244,6122,10282.4,2432.19,2750.4,3331.8,4019.76,1362.7,2779.37,0.042167432,0.017648977,0.11146039699999999,0.019008821999999998,475714.0712,0.513600682,61604.97221,616050000000.0
OIL AND NATURAL GAS CORPORATION LTD,ONGC,500312,0.1421,13730383255.0,158448.6228,115.4,209994,"1,24,036","2,82,506","3,22,706","4,21,624","3,96,753","3,09,525",-935,99,-97,"1,001",708,155.2,7210,9767.6,8400.28,8858.34,6326.06,8112.456,0.050199597,0.060823340999999996,0.001682356,0.05548316,420471.1338,2.6536749040000003,59748.94812000001,597489000000.0
KOTAK MAHINDRA BANK LTD,KOTAKBANK,500247,0.1596,1992739952.0,382616.0344,1920.05,67135,20402,22324,25131,29831,33474,26232.4,4696,13989,-1188,6864,32815,11435.2,103.77,98.8,124.02,144.08,0,94.134,0.016048792,0.005154809000000001,0.12395665800000001,0.000643806,364510.1615,0.95267874,58175.82178,581758000000.0
ICICI BANK LTD,ICICIBANK,532174,0.0966,6780526815.0,414697.02,611.6,122957,59294,60940,62162,71982,84836,67842.8,17399,15455,8508,-1608,40462,16043.2,2952.2,1426.32,925.44,638.1,0,1188.412,0.029393182,0.013331478,0.17390701100000003,0.008127853,561898.8106,1.354962258,54279.425110000004,542794000000.0
STATE BANK OF INDIA,SBIN,500112,0.0746,9816015363.0,378260.152,385.35,251060,"2,20,633","2,30,447","2,28,970","2,53,322","2,69,852","2,40,645","16,078","68,638","-77,908","30,223","28,803","13,167",2078.25,2070.19,0.0,0.0,0,829.688,0.060016528,0.047288009000000006,0.14272706400000001,0.005674448,639265.1216,1.6900144469999998,47689.17807,476892000000.0
TATA MOTORS LTD,TATAMOTORS,500570,0.2927,3492728764.0,114020.1305,326.45,50576,"2,73,046","2,69,693","2,91,550","3,01,938","2,61,068","2,79,459","-2,589","-3,167",730,"6,843","-3,092",-255,115.79,0.0,0.0,0.0,0,23.158,0.012090321,0.054915209000000006,-0.00276418,0.000158383,160999.3346,1.412025525,47124.50525,471245000000.0
GAIL (INDIA) LTD,GAIL,532155,0.479,4482510787.0,65892.90856,147.0,50969,"52,053","48,552","54,496","76,190","72,508","60,760",29,415,858,"-1,081",328,109.8,691.53,1886.08,2063.57,1636.5,2920.82,1839.7,1.22%,0.01193963,0.001190223,0.012582178000000001,94740.75078,1.43779889,45380.81963,453808000000.0
INFOSYS LTD,INFY,500209,0.3066,312605000000.0,571442.3116,18.28,71615,62441,68484,70522,82675,90791,74982.6,2330,-10072,-2754,-303,-919,-2343.6,5530.49,5884.73,9457.11,9242.4,7467.3,7516.406,0.017119747,0.014734488,-0.025404437000000002,0.051406621,144641.046,0.253115744,44346.94471,443469000000.0
HINDALCO INDUSTRIES LTD,HINDALCO,500440,0.2022,2219319646.0,75234.936,339.0,59637,98759,100184,115183,130542,118144,112562.4,-394,4259,-181,1055,12174,3382.6,205.82,247.0,243.32,274.8,226.02,239.392,0.014256376,0.022119122,0.036667115,0.001637263,186699.6891,2.481555764,37750.67714,377507000000.0
BANDHAN BANK LIMITED,BANDHANBNK,541153,0.6,1600641871.0,55526.2665,346.9,15195,-,"3,909","4,802","6,643","10,885",6559.75,-,"4,192","-1,989",427,"2,550",1295,-,0.0,121.14,351.36,0,118.125,0.36%,0.001289026,0.014037697,0.000807887,49417.53403,0.889984815,29650.520419999997,296505000000.0
JSW STEEL LIMITED,JSWSTEEL,500228,0.3531,2614907860.0,106688.2407,408.0,37609,41546,55604,71933,84757,73326,65433.2,-111,84,-335,4999,-1615,604.4,224.45,669.37,994.24,1222.24,604.5,742.96,0.008990527,0.012857978999999999,0.006551648,0.005081293,83703.61621000001,0.7845627190000001,29555.746880000002,295557000000.0
BAJAJ AUTO LIMITED,BAJAJ-AUTO,532977,0.46299999999999997,296639430.8,114350.05099999999,3854.85,23719,"22,574","21,755","25,210","30,358","29,919","25,963",238,-532,488,140,-630,-59.2,1583.79,1590.81,1729.79,1724.8,3492.04,2024.246,0.57%,0.00510191,-0.0006417230000000001,0.013844336,59936.52236,0.524149503,27750.60985,277506000000.0
TATA STEEL LIMITED,TATASTEEL,500470,0.2262,1094942608.0,80511.13,735.3,65066,"1,01,965","1,12,299","1,23,249","1,57,669","1,39,817","1,27,000","-2,068","-1,245","2,933","-4,513","4,462",-86,777.49,975.43,1209.06,1532.7,1152.18,1129.372,0.015554192,0.02495615,-0.0009344010000000001,0.007724064,118250.0101,1.468741155,26748.15227,267482000000.0
VEDANTA LIMITED,VEDL,500295,0.1529,66235553404.0,80741.1396,12.19,56275,"64,262","72,225","91,866","92,048","84,447","80,970","1,206","8,339","-6,409","2,918","-2,174",776,981.6,5775.14,7859.92,6994.35,1466.08,4615.418,0.013452681,0.015910966000000002,0.008411778,0.031566023,173353.62,2.1470296419999997,26505.7685,265058000000.0
ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD,ADANIPORTS,532921,0.363,1984838530.0,148793.4204,749.65,27780,"7,109","8,439","11,323","10,925","11,873","9,934",398,109,-127,"3,975","2,397",1350.4,231.76,273.84,404.14,39.9,639.71,317.87,0.66%,0.001952046,0.014638228999999999,0.002173994,63512.86877000001,0.42685267,23055.17136,230552000000.0
GRASIM INDUSTRIES LTD,GRASIM,500300,0.2699,656931558.2,87733.2096,1335.5,60252,34487,36068,55894,77200,77625,56254.8,-11,-20,856,287,1849,592.2,222.12,253.36,401.85,457.11,265.5,319.988,0.014403393,0.011054373000000001,0.006419401,0.00218848,85164.11727,0.970716991,22985.79525,229858000000.0
AU SMALL FINANCE BANK LIMITED,AUBANK,540611,0.71,305029106.7,38860.7082,1274.0,4325,"1,048","1,280","1,767","2,949","4,286","2,266",-7,596,"1,136",-21,"1,629",666.6,0,0.0,0.0,0.0,0,0.0,0.10%,0.000445281,0.007225891,0.0,29016.914719999997,0.7466903220000001,20602.00945,206020000000.0
HINDUSTAN PETROLEUM CORPORATION LTD,HINDPETRO,500104,0.1171,1498261296.0,36407.7495,243.0,34830,177910,187493,219510,275491,269092,225899.2,-1295,712,-784,-230,-247,-368.8,1168.75,3047.32,2598.48,2408.76,1477.84,2140.23,0.0083262,0.044390418,-0.003997763,0.01463758,158391.0874,4.35047729,18547.59633,185476000000.0
ACC LTD,ACC,500410,0.455,137640995.0,576.0275638999999,41.85,11872,10990,13285,14802,15658,-,13683.75,426,750,374,1559,-,777.25,322.42,489.72,258.4,261.63,-,333.0425,0.28%,0.002688931,0.008425328000000001,0.002277763,40575.13404,70.43957022,18461.68599,184617000000.0
AMBUJA CEMENTS LTD,AMBUJACEM,500425,0.36700000000000005,1963807255.0,56164.8875,286.0,24781,"20,094","23,609","26,041","27,104",-,"24,212","-2,312","1,663",220,"2,919",-,623,52.5,712.52,304.78,293.3,-,340.775,0.59%,0.004757789,0.00674785,0.002330647,49400.61954,0.879564114,18130.02737,181300000000.0
CIPLA LTD,CIPLA,500087,0.633,885358603.8,71359.90346,806.0,17076,"13,790","14,394","15,156","16,362","17,132","15,367",312,-248,243,-345,234,39.2,"1,849",160.96,239.87,244.48,324.87,564.0,0.41%,0.00301966,0.000424925,0.003856218,28457.15977,0.39878360799999996,18013.38214,180134000000.0
BAJAJ FINANCE LIMITED,BAJFINANCE,500034,0.43700000000000006,605852227.7,330431.805,5454.0,34284,"7,299","9,970","12,746","18,487","26,375","14,975","1,100",-972,13,9,998,230,127.9,201.96,224.64,359.55,579.04,298.618,0.82%,0.0029427470000000003,0.002488846,0.002042325,39173.98696,0.118553924,17119.0323,171190000000.0
AUROBINDO PHARMA LTD,AUROPHARMA,524804,0.48100000000000004,583965801.0,50413.7676,863.3,18342,"13,772","14,910","16,463","19,564","23,099","17,562",340,-424,892,666,871,469,141.75,138.12,145.38,141.9,169.86,147.40200000000002,0.44%,0.00345095,0.005083923,0.00100812,34819.234410000005,0.690669158,16748.05175,167481000000.0
HINDUSTAN UNILEVER LTD,HINDUNILVR,500696,0.1246,2581109981.0,568644.34,2203.1,46830,32186,33162,35545,39310,39783,35997.2,25,-202,21,-28,2595,482.2,3445.33,3670.32,4327.62,4722.12,5398.4,4312.758,0.01119483,0.007073645,0.00522701,0.029496054,132478.8466,0.232973121,16506.86428,165069000000.0
TATA CONSULTANCY SERVICES LTD,TCS,532540,0.0429,50488618.56,76.6922116,15.19,95137,"1,08,646","1,17,966","1,23,104","1,46,463","1,56,949","1,30,626","4,433","-2,698","1,286","2,341","1,422","1,357",8494.5,9201.15,9555.62,11329.92,27489,13214.038,0.022742741,0.025668639,0.014707603999999999,0.090374182,383732.9148,5003.544777,16462.14204,164621000000.0
DR. REDDY'S LABORATORIES LTD,DRREDDY,500124,0.732,165784995.9,74485.5408,4492.9,16667,"15,568","14,196","14,281","15,448","17,517","15,402",-47,-114,-124,-31,-27,-68.6,340.96,335.92,331.45,331.5,425.46,353.05800000000005,0.40%,0.003026577,-0.0007436189999999999,0.002414654,21704.75099,0.291395494,15887.877719999999,158879000000.0
PUNJAB NATIONAL BANK,PNB,532461,0.09300000000000001,10477680000.0,44006.255999999994,42.0,63877,"50,804","48,058","48,725","52,147","54,918","50,930","18,790","12,330","6,109","-20,192",460,"3,499",73.8,0.0,0.0,0.0,0,14.76,0.015269958,0.0100081,0.037933217000000005,0.00010094700000000001,158280.5578,3.5967740089999998,14720.091880000002,147201000000.0
ASIAN PAINTS LTD,ASIANPAINT,500820,0.47200000000000003,960488585.2,229076.5276,2385.0,11030,"14,271","15,062","16,825","19,240","20,211","17,122",528,90,-822,434,-351,-24.2,715.45,988.89,835.99,1013.32,1163.15,943.36,0.26%,0.003364527,-0.000262326,0.00645188,30477.074989999997,0.133043203,14385.1794,143852000000.0
BAJAJ HOLDINGS & INVESTMENT LIMITED,BAJAJHLDNG,500490,0.5,110681955.2,39889.77664,3604.0,31658,470,842,420,431,435,519.6,"1,406","-1,406",74,-72,92,19,362.4,370.95,451.35,365.76,448.8,399.852,0.76%,0.000102104,0.000203791,0.00273469,26521.274269999998,0.664863945,13260.63713,132606000000.0
YES BANK LTD,YESBANK,532648,0.3765,29027018293.0,47604.31,16.4,21695,"13,533","16,425","20,269","29,624","26,052","21,181",662,"11,336","5,199","2,231","-18,555",174.6,430.1,534.4,634.95,461.43,0,412.176,0.005186245,0.0041621029999999995,0.00189265,0.0028189770000000003,35149.93626,0.738377182,13233.951000000001,132340000000.0
GENERAL INSURANCE CORPORATION OF INDIA,GICRE,540755,0.142,1743676778.0,34202.22,196.15,27754,"15,211","26,715","38,096","44,297","51,695","35,203","2,033","2,429","1,981","-1,324","3,006","1,625",531,1000.96,1196.58,1178.72,0,781.452,0.66%,0.006917541,0.017614871,0.00534455,91279.06401,2.668805242,12961.62709,129616000000.0
UPL LIMITED,UPL,512070,0.2015,6867688.095,0.2884429,0.42,19011,"14,048","16,312","17,378","21,837","35,756","21,066",131,"1,703",-21,-33,"3,898",1135.6,216.2,345.4,404.4,402.57,461.76,366.066,0.004544628,0.004139623,0.012309813999999999,0.002503619,58744.2068,203659.7427,11836.95767,118370000000.0
M.R.F. LTD,MRF,500290,0.4428,25107042.47,170.72788880000002,68.0,12576,20179,13412,14954,16062,16237,16168.8,-152,125,-53,-91,1077,181.2,50.18,29.72,22.64,22.62,42.69,33.57,0.003006325,0.003177257,0.001964194,0.000229594,20943.42225,122.67135959999999,9273.747370000001,92737473704.0
MAHINDRA & MAHINDRA LTD,M&M,500520,0.1002,1191459943.0,100034.9768,839.6,40019,75841,83773,92094,104721,95179,90321.6,-154,416,1529,1672,-1394,413.8,661.08,813.56,826.1,903.55,260.35,692.928,0.009566643,0.017748684,0.004485559,0.004739112,91349.99555,0.9131805540000001,9153.269554,91532695537.0
INDUSIND BANK LTD,INDUSINDBK,532187,0.1421,759707691.8,79237.51225,1043.0,34024,11872,14406,17281,22261,28783,18920.6,-667,8516,-5412,1568,1220,1045,274.32,372.84,432.72,462.14,0,308.404,0.008133523,0.003718001,0.011327717,0.002109254,63221.23592000001,0.7978700259999999,8983.737625,89837376246.0
POWER GRID CORPORATION OF INDIA LIMITED,POWERGRID,532898,0.0639,4944404132.0,109469.1075,221.4,67727,"20,652","25,697","29,954","35,059","37,744","29,821",-948,"1,698","-1,707","2,113","1,192",469.6,1514.4,2931.67,4445.43,3933.21,6857.3,3936.402,0.016190311,0.005860028000000001,0.005090427,0.026922058999999998,135157.06,1.234659376,8636.536133,86365361334.0
EICHER MOTORS LTD,EICHERMOT,505200,0.508,283133501.9,73218.3236,2586.0,10319,"6,173","7,033","8,965","9,797","9,154","8,224",-4,-10,75,623,-673,2.2,267.6,266.72,294.0,330.45,347.13,301.18,0.25%,0.001616139,2.3847800000000002e-05,0.002059847,15416.542669999999,0.2105558,7831.603678,78316036783.0
WIPRO LTD,WIPRO,507685,0.1109,5687268550.0,240002.7328,422.0,60841,"51,244","55,448","54,487","59,019","61,138","56,267","-6,032","-4,767",-979,"11,760","-1,442",-292,1514.36,509.58,480.18,630.28,583.32,743.544,0.014544195,0.01105681,-0.0031652570000000003,0.005085287,68802.58905,0.28667419,7630.207125,76302071254.0
TECH MAHINDRA LIMITED,TECHM,532755,0.1145,1054224420.0,101321.509,961.1,23692,"26,494","29,141","30,773","34,742","36,868","31,604","1,188",-392,-35,77,974,362,1047.55,787.64,1254.0,1246.42,1290.56,1125.234,0.005663633,0.006210279,0.003928387,0.007695763,58745.15341,0.579789563,6726.320065000001,67263200653.0
DLF LIMITED,DLF,532868,0.25,2680615995.0,85350.81327,318.4,34411,"9,926","8,221","6,707","8,366","6,083","7,861",210,761,"-2,064","2,921","-2,658",-166,358.02,357.5,357.12,435.27,495.55,400.69199999999995,0.82%,0.001544651,-0.0017994270000000001,0.002740435,26779.23832,0.31375492899999996,6694.809579,66948095793.0
BRITANNIA INDUSTRIES LTD,BRITANNIA,500825,0.494,240685262.3,84068.95527,3492.9,2674,"8,397","9,054","9,914","11,055","11,600","10,004",8,-4,60,-49,17,6.4,239.25,265.2,301.2,359.29,841.8,401.348,0.06%,0.00196584,6.93755e-05,0.002744922,13548.40937,0.161158294,6692.914227,66929142275.0
COLGATE-PALMOLIVE (INDIA) LTD,COLPAL,500830,0.49,271576212.8,44330.7431,1632.35,1633,"3,868","3,982","4,188","4,462","4,525","4,205",61,5,107,73,20,53.2,273.07,271.19,652.81,628.56,758.88,516.9019999999999,0.04%,0.000826305,0.000576684,0.003535225,13321.46679,0.30050177100000003,6527.518728,65275187280.0
REC LIMITED,RECLTD,532955,0.0833,1943426357.0,28063.0766,144.4,40593,"24,125","24,338","22,658","25,408","29,942","25,294","1,257","2,757","-4,220",134,"1,336",253,1707.3,1893.9,1824.91,2181.58,2187.68,1959.0739999999998,0.009703859,0.004970448,0.0027403320000000003,0.013398608000000001,77033.116,2.744998957,6416.858563000001,64168585629.0
